[2023-03-10 17:13:48,688] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:14:08,078] 192.168.3.36 requested http://192.168.3.36:5003/STpositions | {'strategyname': 'test2'}: DEBUG in main_API: STpositions
[2023-03-10 17:14:18,846] 192.168.3.36 requested http://192.168.3.36:5003/STnetpositions | {'strategyname': 'test2'}: DEBUG in main_API: STnetpositions
[2023-03-10 17:15:36,492] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:15:36,496] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:16:00,611] 192.168.3.36 requested http://192.168.3.36:5003/STnetpositions | {'strategyname': 'test2'}: DEBUG in main_API: STnetpositions
[2023-03-10 17:18:46,155] 192.168.3.36 requested http://192.168.3.36:5003/STnetpositions | {'strategyname': 'test2'}: DEBUG in main_API: STnetpositions
[2023-03-10 17:22:42,431] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:22:42,436] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['sell', 'buy'], 'reason': '', 'qty': 50, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:22:56,244] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: orderplacement
[2023-03-10 17:22:56,248] 192.168.3.36 requested http://192.168.3.36:5003/dependentorder | {'strategyname': 'test2', 'token': [55273, 55279], 'price': [171, 91], 'transactiontype': ['buy', 'sell'], 'reason': '', 'qty': 25, 'split_qty': 25}: DEBUG in main_API: dependentorder
[2023-03-10 17:23:00,968] 192.168.3.36 requested http://192.168.3.36:5003/STpositions | {'strategyname': 'test2'}: DEBUG in main_API: STpositions
[2023-03-10 17:23:14,384] 192.168.3.36 requested http://192.168.3.36:5003/STopenpositions | {'strategyname': 'test2'}: DEBUG in main_API: open pos
